name,id,analysis
Afghanistan,4,yes
Aland Islands,248,
Albania,8,yes
Algeria,12,yes
American Samoa,16,
Andorra,20,
Angola,24,
Anguilla,660,
Antarctica,10,
Antigua and Barbuda,28,
Argentina,32,yes
Armenia,51,yes
Aruba,533,
Australia,36,yes
Austria,40,yes
Azerbaijan,31,yes
Bahamas,44,
Bahrain,48,yes
Bangladesh,50,yes
Barbados,52,
Belarus,112,yes
Belgium,56,yes
Belize,84,
Benin,204,yes
Bermuda,60,
Bhutan,64,yes
Bolivia,68,yes
"Bonaire, Sint Eustatius and Saba",535,
Bosnia and Herzegovina,70,yes
Botswana,72,yes
Bouvet Island,74,
Brazil,76,yes
British Indian Ocean Territory,86,
Brunei Darussalam,96,
Bulgaria,100,yes
Burkina Faso,854,yes
Burundi,108,yes
Cambodia,116,yes
Cameroon,120,yes
Canada,124,yes
Cabo Verde,132,
Cayman Islands,136,
Central African Republic,140,
Chad,148,yes
Chile,152,yes
China,156,yes
Christmas Island,162,
Cocos (Keeling) Islands,166,
Colombia,170,yes
Comoros,174,
"Congo, Rep.",178,yes
"Congo, Dem. Rep.",180,yes
Cook Islands,184,
Costa Rica,188,yes
Cote d'Ivoire,384,yes
Croatia,191,yes
Cuba,192,
Curacao,531,
Cyprus,196,
Czech Republic,203,yes
Denmark,208,yes
Djibouti,262,
Dominica,212,
Dominican Republic,214,yes
Ecuador,218,yes
"Egypt, Arab Rep.",818,yes
El Salvador,222,yes
Equatorial Guinea,226,
Eritrea,232,
Estonia,233,yes
Ethiopia,231,yes
Falkland Islands (Malvinas),238,
Faroe Islands,234,
Fiji,242,
Finland,246,yes
France,250,yes
French Guiana,254,
French Polynesia,258,
French Southern Territories,260,
Gabon,266,yes
Gambia,270,
Georgia,268,yes
Germany,276,yes
Ghana,288,yes
Gibraltar,292,
Greece,300,yes
Greenland,304,
Grenada,308,
Guadeloupe,312,
Guam,316,
Guatemala,320,yes
Guernsey,831,
Guinea,324,yes
Guinea-Bissau,624,
Guyana,328,
Haiti,332,yes
Heard Island and McDonald Islands,334,
Holy See,336,
Honduras,340,yes
"Hong Kong SAR, China",344,yes
Hungary,348,yes
Iceland,352,yes
India,356,yes
Indonesia,360,yes
"Iran, Islamic Rep.",364,yes
Iraq,368,yes
Ireland,372,yes
Isle of Man,833,
Israel,376,yes
Italy,380,yes
Jamaica,388,yes
Japan,392,yes
Jersey,832,
Jordan,400,yes
Kazakhstan,398,yes
Kenya,404,yes
Kiribati,296,
Korea (Democratic People's Republic of),408,
"Korea, Rep.",410,yes
Kuwait,414,yes
Kyrgyzstan,417,
Lao People's Democratic Republic,418,
Latvia,428,yes
Lebanon,422,yes
Lesotho,426,
Liberia,430,yes
Libya,434,yes
Liechtenstein,438,
Lithuania,440,yes
Luxembourg,442,yes
Macao,446,
Macedonia (the former Yugoslav Republic of),807,
Madagascar,450,yes
Malawi,454,yes
Malaysia,458,yes
Maldives,462,
Mali,466,yes
Malta,470,yes
Marshall Islands,584,
Martinique,474,
Mauritania,478,yes
Mauritius,480,yes
Mayotte,175,
Mexico,484,yes
Micronesia (Federated States of),583,
Moldova,498,yes
Monaco,492,
Mongolia,496,yes
Montenegro,499,yes
Montserrat,500,
Morocco,504,yes
Mozambique,508,
Myanmar,104,yes
Namibia,516,
Nauru,520,
Nepal,524,yes
Netherlands,528,yes
New Caledonia,540,
New Zealand,554,yes
Nicaragua,558,yes
Niger,562,yes
Nigeria,566,yes
Niue,570,
Norfolk Island,574,
North Macedonia,580,yes
Norway,578,yes
Oman,512,
Pakistan,586,yes
Palau,585,
"Palestine, State of",275,
Panama,591,yes
Papua New Guinea,598,
Paraguay,600,yes
Peru,604,yes
Philippines,608,yes
Pitcairn,612,
Poland,616,yes
Portugal,620,yes
Puerto Rico,630,
Qatar,634,yes
Reunion,638,
Romania,642,yes
Russian Federation,643,yes
Rwanda,646,yes
Saint Barthelemy,652,
"Saint Helena, Ascension and Tristan da Cunha",654,
Saint Kitts and Nevis,659,
Saint Lucia,662,
Saint Martin (French part),663,
Saint Pierre and Miquelon,666,
Saint Vincent and the Grenadines,670,
Samoa,882,
San Marino,674,
Sao Tome and Principe,678,
Saudi Arabia,682,yes
Senegal,686,yes
Serbia,688,yes
Seychelles,690,
Sierra Leone,694,yes
Singapore,702,yes
Sint Maarten (Dutch part),534,
Slovak Republic,703,yes
Slovenia,705,yes
Solomon Islands,90,
Somalia,706,
South Africa,710,yes
South Georgia and the South Sandwich Islands,239,
South Sudan,728,
Spain,724,yes
Sri Lanka,144,yes
Sudan,729,
Suriname,740,
Svalbard and Jan Mayen,744,
Swaziland,748,
Sweden,752,yes
Switzerland,756,yes
Syrian Arab Republic,760,yes
"Taiwan, Province of China",158,
Tajikistan,762,yes
Tanzania,834,yes
Thailand,764,yes
Timor-Leste,626,
Togo,768,yes
Tokelau,772,
Tonga,776,
Trinidad and Tobago,780,yes
Tunisia,788,yes
Turkey,792,yes
Turkmenistan,795,yes
Turks and Caicos Islands,796,
Tuvalu,798,
Uganda,800,yes
Ukraine,804,yes
United Arab Emirates,784,yes
United Kingdom of Great Britain and Northern Ireland,826,yes
United States of America,840,yes
United States Minor Outlying Islands,581,
Uruguay,858,yes
Uzbekistan,860,yes
Vanuatu,548,
"Venezuela, RB",862,yes
Vietnam,704,yes
Virgin Islands (British),92,
Virgin Islands (U.S.),850,
Wallis and Futuna,876,
Western Sahara,732,
"Yemen, Rep.",887,yes
Zambia,894,yes
Zimbabwe,716,yes